,0
0,25.530473709106445
1,26.98318099975586
2,27.209503173828125
3,26.730775833129883
4,26.086105346679688
5,25.735607147216797
6,25.872451782226562
7,26.3797664642334
8,27.19239044189453
9,26.908212661743164
10,26.911304473876953
11,27.293907165527344
12,26.4388484954834
13,27.582275390625
14,27.68971061706543
15,27.465740203857422
16,27.00044059753418
17,26.462284088134766
18,26.189260482788086
19,26.196813583374023
20,26.275901794433594
21,26.558950424194336
22,26.84328269958496
23,26.10249137878418
24,20.16064453125
25,20.12604522705078
26,20.161760330200195
27,20.121673583984375
28,20.25684356689453
29,20.37313461303711
30,20.84563446044922
31,20.61073875427246
32,21.01896095275879
33,22.287858963012695
34,23.591625213623047
35,25.104116439819336
36,24.939403533935547
37,23.22867774963379
38,21.4771671295166
39,20.793947219848633
40,20.409690856933594
41,20.35737419128418
42,20.544984817504883
43,20.732521057128906
44,20.088207244873047
45,20.05168914794922
46,19.93840789794922
47,20.160324096679688
48,27.720134735107422
49,27.571447372436523
50,27.16719627380371
51,26.289838790893555
52,25.56610870361328
53,25.28569221496582
54,25.191165924072266
55,25.384702682495117
56,25.827655792236328
57,26.64303970336914
58,27.814184188842773
59,27.965225219726562
60,27.54488182067871
61,27.112825393676758
62,26.912216186523438
63,26.486209869384766
64,26.067646026611328
65,25.872425079345703
66,25.901622772216797
67,26.00731086730957
68,26.513864517211914
69,27.271352767944336
70,28.0971622467041
71,27.688419342041016
72,24.81838109758165
73,2.8102657589567976
